system,workload,MemoryLimit_0,MemoryLimit_1,Nice_0,Nice_1,Depth_0,Depth_1,Dict_0,Dict_1,Dist_0,Dist_1,Multithreading_0,Multithreading_1,BlockSize_0,BlockSize_1,FlushTimeout_0,FlushTimeout_1,PositionBits_0,PositionBits_1,check_1,check_2,check_4,check_3,mfs_1,mfs_3,mfs_4,mfs_5,mfs_2
xz,ambivert,0.20441187751594883,0.6381349461845319,0.05925904509214786,0.5006854004032679,0.24247704074711662,0.4190465705561251,0.31209455125733965,0.6964550066021268,0.5776643141094067,0.45612931217949515,0.5606186603826697,0.70102732326735,-0.0522439427345641,0.27752503968899034,0.46423547078685407,0.5353782423421246,0.6400511581132837,0.6548890300295597,0.5215518889091738,0.03240425029300015,0.11252426500841715,0.56934550491799,0.8674883741159823,0.9115540302879235,1.033801506435205,0.4896748426180826,0.7833231945100517
xz,artificl,0.20087466525335432,0.11214202479456317,0.11321983386207064,0.10071257149243043,0.1556297546276598,0.12629711264962368,-0.06169777783610591,0.08016896133323781,1.1148259628599165e-05,0.08184139288880152,-0.02965662885340345,-0.055956199408812975,0.09336433121573107,0.019203708302292854,-0.053356118864521115,-0.05729882830127606,0.15713794042411913,0.18887549441288728,0.07539246721364531,0.35485496785106885,-0.008515899081591486,0.041980931841440625,-0.03299414237916605,0.06727976784184761,0.055787596234168554,-0.06784466877462171,-0.0018327609211832264
xz,deepfield,0.3823038461351298,0.4719793437481327,0.12048525303572485,0.16498148281348946,0.5819204944628309,0.3829923561388338,0.05601301865629428,0.6927584359815075,0.2597228801331804,0.7428355380875787,1.0065105163193542,1.0460430730549237,0.04667876870401775,0.3421416905854294,0.4150930335869219,0.49925470084041473,0.653726978956337,0.6520451156119156,0.493648326336155,0.09855072699110523,0.5603794072939101,0.04612991890296195,0.8483805585932838,0.6676371537699056,0.8537054433401859,0.5663409642303336,0.6757734940489838
xz,enwik8,0.6243041764183944,0.5537601271510393,0.037445139809760886,0.09190535115449998,0.25762792771128573,0.1450786544603558,0.6567456026412005,0.19665965110508085,0.20169789799783958,0.19381677472089023,0.5051600135594185,0.667665647481902,0.22515392136702655,0.5758016206872907,0.42301567778770477,1.4654379347903135,0.43672978326853146,0.6123548493362572,0.0560314842658377,0.0698401297721256,0.44193216227244875,0.011271068760105436,0.8148040402500641,0.3829962226218491,1.044045384365973,0.661635193366624,0.9009348212533956
xz,fannie_mae_500k,0.31141922051022003,0.6781656416215505,0.10208234910999518,0.2777349072862442,0.46362321795248257,0.5851860828573744,0.5473384955075115,0.7263321577567258,0.9185782602531215,0.5835110129990332,1.0272896609108861,0.584589963369685,0.2882704954134265,0.2669397534526178,0.6315314170720514,0.6240725068773205,0.5881729637667741,0.7076913456451132,0.07845599334667075,0.06736403964747546,0.09170503714279427,0.057414046629776165,0.6393993442525592,0.5365796331603829,1.02614388197297,0.8315471429000635,0.6178652011069731
xz,large,0.641560827492518,0.7205675569977873,0.07224681025405635,0.11447838586744055,0.4150016429915434,0.22405851756531306,0.5136497564786681,0.6844248401743517,0.7540754390583146,0.6386870609734506,0.4473919555021449,0.7043977508163765,0.44080361212497304,0.2864059556751477,0.6232167080331654,0.6168211721824512,0.6052217788206451,0.6091258424769599,0.619345085391099,0.1081032118134428,0.08747986448535452,0.07250885737122523,0.358593089227081,0.07028916212601531,0.7513203921878855,0.7897435903713554,0.276445461700281
xz,misc,0.08615790235252675,0.30866906407072575,0.27924070195439643,0.052449183173619816,0.17351985619101895,0.10336815338549338,0.23517069438636629,0.3200631383672453,0.24566831477286016,0.190274011571277,0.155159843252884,0.14207278139287902,0.30862805084843514,0.31687449828645,-0.041769531195975505,-0.04334731237802313,0.4419107423252539,0.34113928629077367,0.022985586713599307,0.022185908283347124,0.30042376468174925,0.029026062527682753,0.4876562436005803,0.7561945389524201,0.4893608589868473,0.07125007381934562,0.614204588057273
xz,silesia,0.18302567092710578,0.6680989190880267,0.39722386535401066,0.06370485268184108,0.36203244751240093,0.5142743536508777,0.06871419197294328,0.32659363283322307,0.4081871940078046,0.2813596054995315,1.0297394202980303,0.7096317451624891,0.47366182767779796,0.8190887643563436,0.7160553118272656,0.7236899971190044,0.5787817062930185,0.6868781584892572,0.5260986595394906,0.5625316297102335,0.08267394473487508,0.07834723736077306,0.7432789688737652,0.8698706279411259,1.0186540551943122,0.7649897780869795,0.7268082240617084
xz,uiq2-4,0.7736615094388164,0.6726413865635091,0.3366888867198498,0.071202641144993,0.228437393957951,0.1781916685061009,0.9249113140249952,0.7376917954346647,0.6335398843559515,0.6804867128834604,0.5631967427399484,0.7162111511615383,0.26432756125841916,0.3028024104759311,0.7878318340247147,0.7508132047631878,0.6331253531054585,0.5928209595906284,0.61491648533486,0.5867398853286602,0.4804375512175786,0.5251366923384779,0.8012810783567588,0.18667350120049783,0.812560405499152,0.27357447779255184,0.38612505884788073
xz,uiq2-8,0.21843636851847711,0.2189274774218138,0.38070823427757416,0.08995842239125355,0.2272040618753871,0.15814280106028006,0.8224226225924226,0.27951369725965947,0.5798124317471691,0.648867049641717,0.7288856685146968,1.126160346016101,0.2012157009977725,0.8098774658993838,0.38061488031847773,0.4929291280867798,0.6849960042021441,0.5628422750645415,0.535700329618638,0.10172887464691563,0.08021555384974932,0.0769376873088034,0.7425555700656887,0.28736859080456234,0.8627828990816022,0.48372422566262674,0.39883216905127045
xz,uiq2-16,0.24221127657449817,0.6547651919735691,0.14609554815546885,0.1301230977116681,0.21769124561965153,0.4122619939189852,0.546851724257707,0.773090266915283,0.3111614988214216,0.5699819796875182,0.9505318970040072,1.0544529466862766,0.7899598608861405,0.790401356904755,0.43448854710718604,0.4543990026210144,0.62500455398915,0.6545701399646464,0.05557538597337958,0.6800347222831064,0.09496681956934076,0.5961363543593725,0.8657965760078428,0.4495715696131801,0.8880319758833792,0.7049207907363082,0.8386370050071669
xz,uiq-32,0.7915285615481058,0.6673970562150962,0.16345657679704959,0.10037109082648844,0.5227007967879186,0.22352490167123487,0.7722338618180765,0.6493613727686809,0.3211945925358452,0.6146345989113677,0.9353150691906503,0.576100286192853,0.2902279971872519,0.6897863737679514,0.4470187767998015,0.45278002387887073,0.5919804433405804,0.6432348743470498,0.09698653355783454,0.06122984651284587,0.08371542278991823,0.09399161418296575,0.8609244949642854,0.41398225540387373,0.8794276872550988,0.6663826717752941,0.6385151264219506
xz,vmlinux-5,0.7106963476158403,0.725925558585489,0.5601632930755176,0.14016279882423335,0.39259827898493066,0.48297953024236184,0.19302074503800773,0.34467315579380636,0.6854230142880545,0.6736071015766537,0.980065716384887,0.9252989591643204,0.5759261239350492,0.7789342772116085,0.5602111106702413,0.5747553278516476,0.6246575271849205,0.7474178281850463,0.14392497440929744,0.1370920637968739,0.6547520314680406,0.665413652121207,0.6165589954173326,0.23120757717814944,0.7160289334718993,0.37264926500011214,0.3930079611856039
