system,workload,local_optima_ratio,quality,max_basin,min_basin,hamming_r
xz,ambivert,0.1790895447723862,0.48161942241138006,77,0,1
xz,artificl,0.4257128564282141,0.3213396949630501,18,0,1
xz,deepfield,0.19309654827413708,0.419798934351417,60,0,1
xz,enwik8,0.17008504252126064,0.5014446284434068,64,0,1
xz,fannie_mae_500k,0.17158579289644824,0.34442031496677106,74,0,1
xz,large,0.20060030015007504,0.3273040451859525,71,0,1
xz,misc,0.2481240620310155,0.4053258142451428,54,0,1
xz,silesia,0.16758379189594796,0.41185767180887217,68,0,1
xz,uiq2-4,0.1870935467733867,0.352862723360469,65,0,1
xz,uiq2-8,0.17108554277138568,0.41926485294704846,91,0,1
xz,uiq2-16,0.17008504252126064,0.4239276750912901,62,0,1
xz,uiq-32,0.16908454227113556,0.4374736089485522,82,0,1
xz,vmlinux-5,0.19159579789894948,0.3074334091586934,49,0,1
