,lrzip_GBR,xz_GBR,z3_GBR,dconvert_GBR,batlik_GBR,kanzi_GBR,x264_GBR,h2_GBR,jump3r_GBR
W1,0.0366492146596858,0.0005002501250625,0.6425742574257426,0.0793908929627439,0.1615424700364773,0.3499513618677042,0.0019274012206874,0.0793244626407369,0.0369399428026692
W2,0.5654450261780105,0.1990995497748874,0.7346534653465346,0.1067415730337078,0.1104742053152683,0.2392996108949416,0.0035335689045936,0.0603889457523029,0.0812678741658722
W3,0.06282722513089,0.0,0.7534653465346535,0.0505617977528089,0.0771235018238666,0.0812256809338521,0.0035335689045936,0.033265097236438,0.0743565300285986
W4,0.0523560209424083,0.0030015007503751,0.1415841584158415,0.1073329390892962,0.0901511203751954,0.3010700389105058,0.006745904272406,0.0445240532241555,0.1089132507149666
W5,0.1308900523560209,0.0025012506253126,0.5415841584158416,0.1459195742164399,0.1761334028139656,0.3307392996108949,0.0022486347574686,0.0609007164790174,0.1012869399428026
W6,0.3036649214659686,0.001000500250125,0.6415841584158416,0.0847131874630396,0.109431995831162,0.1099221789883268,0.0006424670735624,0.0793244626407369,0.0319351763584366
W7,0.0785340314136125,0.0280140070035017,0.6059405940594059,0.4080425783560024,0.2173006774361646,0.2259241245136186,0.0019274012206874,0.0542476970317297,N/A
W8,0.1413612565445026,0.0015007503751875,0.2603960396039604,0.1367534003548196,0.2412714955706097,0.2662937743190661,0.1153228397044651,0.0501535312180143,N/A
W9,0.0732984293193717,0.001000500250125,0.3752475247524752,0.0663808397397989,0.0776446065659197,0.1702334630350194,0.0006424670735624,N/A,N/A
W10,0.1413612565445026,0.0020010005002501,0.1594059405940594,0.0320816085156712,0.3835330901511203,N/A,N/A,N/A,N/A
W11,0.1204188481675392,0.0025012506253126,0.3594059405940594,0.0359254878769958,0.1792600312662845,N/A,N/A,N/A,N/A
W12,0.0680628272251308,0.0005002501250625,0.5138613861386139,0.1154642223536369,N/A,N/A,N/A,N/A,N/A
W13,0.1256544502617801,0.0005002501250625,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Median,0.12,0.002,0.528,0.096,0.162,0.239,0.002,0.057,0.078
IQR,0.073,0.002,0.307,0.058,0.098,0.131,0.002,0.017,0.05
