,lrzip_R,lrzip_Q,xz_R,xz_Q,z3_R,z3_Q,dconvert_R,dconvert_Q,batlik_R,batlik_Q,kanzi_R,kanzi_Q,x264_R,x264_Q,h2_R,h2_Q,jump3r_R,jump3r_Q
W1,0.1204188481675392,0.9721190333773664,0.1790895447723862,0.48161942241138,0.0148514851485148,0.6278632222425742,0.0060615020697811,0.7874303608922211,0.0166753517457008,0.7542721070579057,0.0858463035019455,-0.3334570946747691,0.27979441053646,0.0485521660261033,0.0255885363357216,0.2443552174122192,0.040514775977121,0.3758511002818806
W2,0.193717277486911,0.9923123580739428,0.4257128564282141,0.3213396949630501,0.1247524752475247,0.7839412574450648,0.0048787699586043,0.7533257318084244,0.0093798853569567,0.9056465595321272,0.1053015564202334,-0.234012736232331,0.2550594282043045,0.0368071497960869,0.0245649948822927,0.0708958432195194,0.0419447092469018,0.534030821301044
W3,0.0994764397905759,0.9867974003531312,0.193096548274137,0.419798934351417,0.0237623762376237,0.967101727213167,0.0263157894736842,0.5687178577762013,0.0099009900990099,0.7879900845105589,0.1473735408560311,0.4205729575083536,0.2695149373594603,0.0624080377139243,0.0240532241555783,0.2321607837911208,0.0440896091515729,0.5098892361610744
W4,0.1047120418848167,0.9451287020035368,0.1700850425212606,0.5014446284434068,0.0158415841584158,0.9664449540502874,0.0054701360141927,0.7385950469018265,0.0109431995831162,0.8902353024727968,0.0843871595330739,-0.3377502202628489,0.2659813684548667,0.0479574731351229,0.0281473899692937,0.3159970486768811,0.0476644423260247,0.4496315831390549
W5,0.0994764397905759,0.8304622317911073,0.1715857928964482,0.344420314966771,0.0118811881188118,0.9924338719606732,0.0084269662921348,0.7179005475671102,0.0114643043251693,0.8790823841080272,0.0858463035019455,-0.2466546127417557,0.2653389013813042,0.0538819628785293,0.0301944728761514,0.1005581580544578,0.0421830314585319,0.3961684367639865
W6,0.0994764397905759,0.9592844641811122,0.200600300150075,0.3273040451859525,0.0217821782178217,0.9956021909734356,0.0183323477232406,0.5397358747660299,0.0156331422615945,0.8257089697192749,0.0887645914396887,-0.2959230399187965,0.3931898490202377,0.0933188658376141,0.0271238485158648,0.0600445563283089,0.0555290753098188,0.467200052506793
W7,0.1413612565445026,0.9042629952521998,0.2481240620310155,0.4053258142451428,0.0574257425742574,0.8291439973772783,0.0036960378474275,0.6096799801911232,0.0078165711307972,0.9641290212320516,0.0916828793774319,-0.2819957514564086,0.293286219081272,0.1110884449002013,0.0281473899692937,0.2826550328407853,N/A,N/A
W8,0.0890052356020942,0.97396535341058,0.1675837918959479,0.4118576718088721,0.0702970297029703,0.9734214708898696,0.0088704908338261,0.6522032226774754,0.0119854090672225,0.8570012046671289,0.0873054474708171,-0.293431725007711,0.3832316093800192,0.0997158768691835,0.0281473899692937,0.3762622591747012,N/A,N/A
W9,0.0890052356020942,0.972251046202234,0.1870935467733867,0.352862723360469,0.1465346534653465,0.9377086711401876,0.015966883500887,0.5779457102151035,0.0218863991662324,0.767341876037528,0.0890077821011673,0.2657284697068729,0.3485383874076453,0.1014140124975049,N/A,N/A,N/A,N/A
W10,0.1151832460732984,0.9453871604188798,0.1710855427713856,0.4192648529470484,0.0198019801980198,0.8034789357588303,0.0328208160851567,0.6706082937536992,0.0114643043251693,0.9001114104378801,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
W11,0.1204188481675392,0.9352496960628448,0.1700850425212606,0.4239276750912901,0.0128712871287128,0.6945924314490112,0.0201064458900059,0.5103923569888885,0.0072954663887441,0.9642563639442344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
W12,0.1047120418848167,0.951335016329222,0.1690845422711355,0.4374736089485522,0.0099009900990099,0.9952008409770446,0.018923713778829,0.7752614415386552,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
W13,0.1099476439790576,0.9800122228919697,0.1915957978989494,0.3074334091586934,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Median,0.105,0.959,0.179,0.412,0.021,0.952,0.012,0.661,0.011,0.879,0.089,-0.282,0.28,0.062,0.028,0.238,0.043,0.458
IQR,0.021,0.029,0.023,0.08,0.046,0.18,0.013,0.167,0.004,0.096,0.006,0.062,0.083,0.051,0.003,0.198,0.005,0.09
